voltage,current,power,energy,timestamp,date
248.8,0.357,57.9,0.000171,18:05:2025 12:30:46.95,2025-05-18
248.3,0.36,58.3,0.000171,18:05:2025 12:30:52.25,2025-05-18
247.8,0.358,58.2,0.000171,18:05:2025 12:30:57.38,2025-05-18
248.2,0.36,58.2,0.000171,18:05:2025 12:31:02.76,2025-05-18
248.1,0.358,57.8,0.000171,18:05:2025 12:31:08.49,2025-05-18
248.1,0.358,57.7,0.000171,18:05:2025 12:31:13.59,2025-05-18
248.3,0.359,57.8,0.000171,18:05:2025 12:31:21.50,2025-05-18
248.1,0.358,57.3,0.000171,18:05:2025 12:31:26.62,2025-05-18
248.5,0.361,57.9,0.000171,18:05:2025 12:31:32.26,2025-05-18
248.5,0.359,57.6,0.000172,18:05:2025 12:31:37.76,2025-05-18
248.3,0.361,57.8,0.000172,18:05:2025 12:31:43.27,2025-05-18
247.9,0.362,57.9,0.000172,18:05:2025 12:31:48.95,2025-05-18
249.4,0.357,57.9,0.000172,18:05:2025 12:31:54.49,2025-05-18
249.9,0.357,57.9,0.000172,18:05:2025 12:32:00.18,2025-05-18
250.0,0.353,57.2,0.000172,18:05:2025 12:32:05.29,2025-05-18
249.8,0.35,56.7,0.000172,18:05:2025 12:32:10.46,2025-05-18
249.2,0.362,58.3,0.000172,18:05:2025 12:32:15.74,2025-05-18
249.0,0.364,58.8,0.000172,18:05:2025 12:32:21.26,2025-05-18
249.0,0.358,58.0,0.000172,18:05:2025 12:32:26.79,2025-05-18
249.1,0.356,58.2,0.000172,18:05:2025 12:32:31.95,2025-05-18
249.0,0.351,57.1,0.000173,18:05:2025 12:32:37.08,2025-05-18
248.8,0.356,57.7,0.000173,18:05:2025 12:32:42.26,2025-05-18
249.0,0.356,57.7,0.000173,18:05:2025 12:32:47.94,2025-05-18
249.3,0.354,57.3,0.000173,18:05:2025 12:32:53.85,2025-05-18
249.3,0.355,57.3,0.000173,18:05:2025 12:32:59.04,2025-05-18
248.3,0.357,57.3,0.000173,18:05:2025 12:33:07.47,2025-05-18
248.3,0.355,57.3,0.000173,18:05:2025 12:33:13.56,2025-05-18
247.9,0.355,57.4,0.000173,18:05:2025 12:33:21.03,2025-05-18
248.4,0.362,58.2,0.000173,18:05:2025 12:33:26.35,2025-05-18
248.0,0.357,57.7,0.000173,18:05:2025 12:33:31.61,2025-05-18
248.0,0.358,57.5,0.000173,18:05:2025 12:33:36.76,2025-05-18
248.2,0.354,57.1,0.000174,18:05:2025 12:33:41.88,2025-05-18
248.8,0.355,57.2,0.000174,18:05:2025 12:33:47.46,2025-05-18
249.6,0.358,58.4,0.000174,18:05:2025 12:33:52.60,2025-05-18
249.9,0.352,57.3,0.000174,18:05:2025 12:33:57.73,2025-05-18
249.8,0.363,59.5,0.000174,18:05:2025 12:34:02.84,2025-05-18
249.6,0.355,58.0,0.000174,18:05:2025 12:34:08.01,2025-05-18
249.5,0.354,57.8,0.000174,18:05:2025 12:34:13.33,2025-05-18
249.8,0.352,57.5,0.000174,18:05:2025 12:34:18.44,2025-05-18
249.9,0.353,57.6,0.000174,18:05:2025 12:34:26.33,2025-05-18
249.9,0.354,58.0,0.000174,18:05:2025 12:34:31.66,2025-05-18
249.9,0.353,57.8,0.000174,18:05:2025 12:34:37.12,2025-05-18
249.9,0.353,57.9,0.000175,18:05:2025 12:34:42.25,2025-05-18
249.7,0.353,57.8,0.000175,18:05:2025 12:34:47.38,2025-05-18
249.5,0.351,57.4,0.000175,18:05:2025 12:34:52.93,2025-05-18
248.5,0.358,58.1,0.000175,18:05:2025 12:34:58.05,2025-05-18
248.2,0.356,57.7,0.000175,18:05:2025 12:35:03.15,2025-05-18
248.2,0.36,58.0,0.000175,18:05:2025 12:35:08.26,2025-05-18
248.3,0.358,57.9,0.000175,18:05:2025 12:35:13.42,2025-05-18
248.2,0.36,58.1,0.000175,18:05:2025 12:35:18.52,2025-05-18
248.5,0.356,57.7,0.000175,18:05:2025 12:35:23.63,2025-05-18
248.6,0.357,58.0,0.000175,18:05:2025 12:35:28.73,2025-05-18
