voltage,current,power,energy,timestamp,date
248.8,0.383,84.0,0.000549,19:05:2025 16:29:57.89,2025-05-19
249.0,0.384,84.3,0.000549,19:05:2025 16:30:00.94,2025-05-19
248.7,0.385,84.6,0.000549,19:05:2025 16:30:04.61,2025-05-19
248.7,0.385,84.7,0.000549,19:05:2025 16:30:07.84,2025-05-19
249.0,0.387,85.1,0.000549,19:05:2025 16:30:13.70,2025-05-19
248.9,0.386,84.9,0.000549,19:05:2025 16:30:16.76,2025-05-19
248.9,0.388,85.4,0.000549,19:05:2025 16:30:19.82,2025-05-19
249.1,0.387,85.3,0.000549,19:05:2025 16:30:22.87,2025-05-19
249.0,0.389,85.9,0.00055,19:05:2025 16:30:25.92,2025-05-19
249.0,0.388,85.6,0.00055,19:05:2025 16:30:28.97,2025-05-19
249.2,0.389,85.7,0.00055,19:05:2025 16:30:32.02,2025-05-19
249.1,0.389,85.7,0.00055,19:05:2025 16:30:39.85,2025-05-19
249.1,0.389,85.8,0.00055,19:05:2025 16:30:45.68,2025-05-19
249.3,0.389,85.8,0.00055,19:05:2025 16:30:48.94,2025-05-19
249.3,0.389,86.0,0.00055,19:05:2025 16:30:52.10,2025-05-19
249.5,0.391,86.3,0.00055,19:05:2025 16:30:55.15,2025-05-19
249.3,0.391,86.3,0.00055,19:05:2025 16:30:58.21,2025-05-19
249.5,0.39,86.1,0.00055,19:05:2025 16:31:01.27,2025-05-19
249.4,0.391,86.3,0.00055,19:05:2025 16:31:04.31,2025-05-19
249.2,0.392,86.6,0.00055,19:05:2025 16:31:07.40,2025-05-19
249.5,0.39,86.3,0.000551,19:05:2025 16:31:10.46,2025-05-19
249.7,0.391,86.6,0.000551,19:05:2025 16:31:13.51,2025-05-19
249.8,0.391,86.6,0.000551,19:05:2025 16:31:16.76,2025-05-19
249.8,0.391,86.4,0.000551,19:05:2025 16:31:19.81,2025-05-19
250.0,0.391,86.7,0.000551,19:05:2025 16:31:22.86,2025-05-19
249.9,0.391,86.6,0.000551,19:05:2025 16:31:25.92,2025-05-19
250.0,0.391,86.6,0.000551,19:05:2025 16:31:28.98,2025-05-19
250.0,0.391,86.6,0.000551,19:05:2025 16:31:32.03,2025-05-19
249.8,0.392,86.7,0.000551,19:05:2025 16:31:35.08,2025-05-19
249.8,0.392,86.8,0.000551,19:05:2025 16:31:38.13,2025-05-19
250.0,0.392,86.8,0.000551,19:05:2025 16:31:41.18,2025-05-19
250.1,0.393,87.0,0.000551,19:05:2025 16:31:44.25,2025-05-19
250.2,0.392,86.8,0.000551,19:05:2025 16:31:47.31,2025-05-19
250.2,0.392,86.8,0.000551,19:05:2025 16:31:50.36,2025-05-19
250.2,0.392,86.8,0.000552,19:05:2025 16:31:53.42,2025-05-19
250.1,0.392,86.9,0.000552,19:05:2025 16:31:56.48,2025-05-19
250.2,0.392,86.7,0.000552,19:05:2025 16:32:00.33,2025-05-19
250.5,0.391,86.7,0.000552,19:05:2025 16:32:06.45,2025-05-19
250.3,0.391,86.7,0.000552,19:05:2025 16:32:20.47,2025-05-19
250.3,0.392,86.7,0.000552,19:05:2025 16:32:23.55,2025-05-19
250.1,0.392,86.8,0.000552,19:05:2025 16:32:26.60,2025-05-19
250.2,0.391,86.6,0.000552,19:05:2025 16:32:29.65,2025-05-19
250.3,0.391,86.6,0.000553,19:05:2025 16:32:32.70,2025-05-19
250.3,0.392,86.7,0.000553,19:05:2025 16:32:35.75,2025-05-19
250.4,0.392,86.8,0.000553,19:05:2025 16:32:39.31,2025-05-19
250.4,0.392,86.7,0.000553,19:05:2025 16:32:42.46,2025-05-19
250.4,0.392,86.8,0.000553,19:05:2025 16:32:45.58,2025-05-19
250.4,0.392,86.7,0.000553,19:05:2025 16:32:48.64,2025-05-19
250.3,0.391,86.7,0.000553,19:05:2025 16:32:51.76,2025-05-19
250.4,0.392,86.7,0.000553,19:05:2025 16:32:54.82,2025-05-19
250.2,0.391,86.6,0.000553,19:05:2025 16:32:57.90,2025-05-19
250.2,0.391,86.5,0.000553,19:05:2025 16:33:00.94,2025-05-19
250.1,0.391,86.6,0.000553,19:05:2025 16:33:04.00,2025-05-19
250.2,0.391,86.6,0.000553,19:05:2025 16:33:07.05,2025-05-19
250.0,0.392,86.6,0.000553,19:05:2025 16:33:10.10,2025-05-19
250.0,0.391,86.4,0.000553,19:05:2025 16:33:13.15,2025-05-19
250.1,0.391,86.4,0.000554,19:05:2025 16:33:16.20,2025-05-19
250.1,0.392,86.7,0.000554,19:05:2025 16:33:19.25,2025-05-19
251.0,0.392,86.8,0.000554,19:05:2025 16:33:22.30,2025-05-19
251.0,0.391,86.6,0.000554,19:05:2025 16:33:25.35,2025-05-19
250.9,0.391,86.6,0.000554,19:05:2025 16:33:28.40,2025-05-19
250.8,0.391,86.7,0.000554,19:05:2025 16:33:31.44,2025-05-19
250.9,0.391,86.5,0.000554,19:05:2025 16:33:34.50,2025-05-19
250.5,0.391,86.5,0.000554,19:05:2025 16:33:37.91,2025-05-19
250.5,0.391,86.5,0.000554,19:05:2025 16:33:41.03,2025-05-19
251.1,0.39,86.4,0.000554,19:05:2025 16:33:44.08,2025-05-19
251.0,0.391,86.5,0.000554,19:05:2025 16:33:47.13,2025-05-19
251.1,0.39,86.4,0.000554,19:05:2025 16:33:50.19,2025-05-19
251.1,0.39,86.4,0.000554,19:05:2025 16:33:54.16,2025-05-19
251.0,0.391,86.6,0.000555,19:05:2025 16:33:57.21,2025-05-19
250.9,0.391,86.6,0.000555,19:05:2025 16:34:03.10,2025-05-19
250.9,0.39,86.3,0.000555,19:05:2025 16:34:06.16,2025-05-19
251.0,0.39,86.3,0.000555,19:05:2025 16:34:09.22,2025-05-19
250.8,0.39,86.3,0.000555,19:05:2025 16:34:12.27,2025-05-19
250.8,0.39,86.3,0.000555,19:05:2025 16:34:15.34,2025-05-19
250.8,0.39,86.3,0.000555,19:05:2025 16:34:18.59,2025-05-19
250.8,0.389,86.1,0.000555,19:05:2025 16:34:21.67,2025-05-19
250.6,0.389,86.1,0.000555,19:05:2025 16:34:24.73,2025-05-19
250.7,0.39,86.1,0.000555,19:05:2025 16:34:27.78,2025-05-19
250.8,0.389,86.1,0.000555,19:05:2025 16:34:30.85,2025-05-19
250.9,0.389,86.0,0.000555,19:05:2025 16:34:33.92,2025-05-19
250.9,0.389,85.9,0.000555,19:05:2025 16:34:36.99,2025-05-19
250.1,0.389,85.9,0.000556,19:05:2025 16:34:40.06,2025-05-19
249.5,0.389,85.8,0.000556,19:05:2025 16:34:43.10,2025-05-19
249.2,0.39,85.9,0.000556,19:05:2025 16:34:46.34,2025-05-19
249.4,0.389,85.7,0.000556,19:05:2025 16:34:49.39,2025-05-19
249.6,0.39,85.9,0.000556,19:05:2025 16:34:52.44,2025-05-19
249.5,0.389,85.9,0.000556,19:05:2025 16:34:55.48,2025-05-19
249.6,0.389,85.7,0.000556,19:05:2025 16:34:58.54,2025-05-19
249.4,0.389,85.7,0.000556,19:05:2025 16:35:01.83,2025-05-19
