voltage,current,power,energy,timestamp,date
243.5,0.341,54.7,5.3e-05,15:05:2025 15:53:26.39,2025-05-15
243.4,0.34,54.7,5.3e-05,15:05:2025 15:53:31.49,2025-05-15
242.9,0.342,55.0,5.3e-05,15:05:2025 15:53:36.58,2025-05-15
242.4,0.342,54.7,5.3e-05,15:05:2025 15:53:41.71,2025-05-15
242.6,0.344,55.1,5.3e-05,15:05:2025 15:53:46.81,2025-05-15
242.9,0.341,54.8,5.3e-05,15:05:2025 15:53:51.92,2025-05-15
242.9,0.343,55.0,5.3e-05,15:05:2025 15:53:57.02,2025-05-15
242.7,0.347,55.6,5.3e-05,15:05:2025 15:54:02.12,2025-05-15
243.8,0.343,55.2,5.3e-05,15:05:2025 15:54:07.21,2025-05-15
244.1,0.34,54.7,5.3e-05,15:05:2025 15:54:12.33,2025-05-15
243.0,0.344,54.9,5.3e-05,15:05:2025 15:54:17.43,2025-05-15
243.1,0.343,54.9,5.4e-05,15:05:2025 15:54:22.52,2025-05-15
242.7,0.338,54.3,5.4e-05,15:05:2025 15:54:27.62,2025-05-15
242.8,0.34,54.5,5.4e-05,15:05:2025 15:54:32.72,2025-05-15
243.5,0.336,53.9,5.4e-05,15:05:2025 15:54:37.82,2025-05-15
243.4,0.334,53.9,5.4e-05,15:05:2025 15:54:42.94,2025-05-15
243.2,0.339,54.3,5.4e-05,15:05:2025 15:54:48.17,2025-05-15
243.8,0.341,54.7,5.4e-05,15:05:2025 15:54:53.28,2025-05-15
243.7,0.338,54.7,5.4e-05,15:05:2025 15:54:58.43,2025-05-15
243.6,0.331,53.5,5.4e-05,15:05:2025 15:55:03.52,2025-05-15
243.5,0.336,54.3,5.4e-05,15:05:2025 15:55:08.62,2025-05-15
243.3,0.34,54.9,5.4e-05,15:05:2025 15:55:13.72,2025-05-15
243.4,0.338,54.7,5.4e-05,15:05:2025 15:55:18.82,2025-05-15
242.8,0.338,54.8,5.5e-05,15:05:2025 15:55:23.92,2025-05-15
242.7,0.339,54.9,5.5e-05,15:05:2025 15:55:29.02,2025-05-15
242.4,0.342,55.3,5.5e-05,15:05:2025 15:55:34.12,2025-05-15
242.4,0.339,54.8,5.5e-05,15:05:2025 15:55:39.21,2025-05-15
243.2,0.337,54.8,5.5e-05,15:05:2025 15:55:44.31,2025-05-15
243.4,0.349,57.1,5.5e-05,15:05:2025 15:55:49.42,2025-05-15
243.2,0.335,54.4,5.5e-05,15:05:2025 15:55:54.52,2025-05-15
242.5,0.358,58.3,5.5e-05,15:05:2025 15:55:59.63,2025-05-15
242.6,0.348,56.7,5.5e-05,15:05:2025 15:56:04.85,2025-05-15
242.5,0.348,56.5,5.5e-05,15:05:2025 15:56:10.34,2025-05-15
